CMDLINE /opt/conda/bin/python dim_redu.py
MEM 0.582031 1725503969.9438
MEM 27.640625 1725503970.0440
MEM 42.535156 1725503970.1441
MEM 51.820312 1725503970.2443
MEM 71.875000 1725503970.3446
MEM 93.402344 1725503970.4448
MEM 107.097656 1725503970.5451
MEM 115.980469 1725503970.6453
MEM 121.906250 1725503970.7455
MEM 130.414062 1725503970.8457
MEM 147.296875 1725503970.9460
MEM 155.875000 1725503971.0462
MEM 168.781250 1725503971.1463
MEM 186.769531 1725503971.2465
MEM 207.324219 1725503971.3466
MEM 257.023438 1725503971.4468
MEM 262.859375 1725503971.5470
MEM 298.226562 1725503971.6473
MEM 303.984375 1725503971.7475
MEM 304.617188 1725503971.8476
MEM 309.468750 1725503971.9478
MEM 310.082031 1725503972.0479
MEM 310.601562 1725503972.1481
MEM 311.191406 1725503972.2482
MEM 311.589844 1725503972.3483
MEM 311.839844 1725503972.4485
MEM 312.027344 1725503972.5486
MEM 312.539062 1725503972.6487
MEM 313.007812 1725503972.7489
MEM 313.515625 1725503972.8490
MEM 313.765625 1725503972.9492
MEM 314.265625 1725503973.0493
MEM 314.660156 1725503973.1494
MEM 315.261719 1725503973.2496
MEM 315.980469 1725503973.3497
MEM 317.253906 1725503973.4499
MEM 318.390625 1725503973.5500
MEM 318.992188 1725503973.6503
MEM 319.589844 1725503973.7506
MEM 320.761719 1725503973.8510
MEM 322.796875 1725503973.9512
MEM 324.339844 1725503974.0515
MEM 325.093750 1725503974.1516
MEM 326.125000 1725503974.2518
MEM 326.726562 1725503974.3519
MEM 327.589844 1725503974.4521
MEM 328.652344 1725503974.5522
MEM 328.902344 1725503974.6524
MEM 330.695312 1725503974.7525
MEM 331.207031 1725503974.8526
MEM 331.582031 1725503974.9528
MEM 331.582031 1725503975.0530
MEM 331.589844 1725503975.1532
MEM 331.589844 1725503975.2533
MEM 333.132812 1725503975.3534
MEM 333.132812 1725503975.4536
MEM 333.132812 1725503975.5537
MEM 335.453125 1725503975.6539
MEM 386.265625 1725503975.7541
MEM 480.460938 1725503975.8542
MEM 574.460938 1725503975.9544
MEM 633.800781 1725503976.0547
MEM 651.800781 1725503976.1549
MEM 671.800781 1725503976.2551
MEM 691.800781 1725503976.3553
MEM 709.925781 1725503976.4554
MEM 729.925781 1725503976.5555
MEM 749.925781 1725503976.6557
MEM 1146.738281 1725503976.7559
MEM 779.925781 1725503976.8560
MEM 804.160156 1725503976.9562
MEM 828.257812 1725503977.0564
MEM 852.492188 1725503977.1565
