	description	n_neighbors	precision	nr_precision	recall	nr_recall	singleton_count	singleton_fraction	N50	elapsed_time:dimension_reduction	elapsed_time:nearest_neighbors	connected_fraction	elapsed_time:tfidf
37	HNSW,Cosine,scBiMapEmbedding,500,TF-IDF	20	0.8025990923275993	0.074723607093926	0.1172357591379827	0.460880536361369	1463	0.0207907003183265	8729	588.3806154727936	1.4778165817260742	0.9792092996816735	0.7026505470275879
56	Minimap2 all-vs-all	20	0.8661236944580742	0.0320324769167212	0.2017741078647297	0.315097633613544	2280	0.0324906660586542	24688		28.68272018432617	0.9675093339413458	
75	ExactNearestNeighbors,Euclidean,None,TF-IDF	20	0.9150991433856784	0.0970829564473817	0.1479828044051464	0.6629109634259055	944	0.0134151887221464	25163		93.7378797531128	0.9865848112778536	0.5126283168792725
94	ExactNearestNeighbors,Cosine,scBiMapEmbedding,500,TF-IDF	20	0.8337274863913684	0.077820670506716	0.1189349237834061	0.4687587107374968	1304	0.0185311505229649	8721	621.8047432899475	180.84422087669373	0.981468849477035	0.758612871170044
132	ProductQuantization,Euclidean,scBiMapEmbedding,500,TF-IDF	20	0.7415781439830534	0.0594664756030445	0.1240649035379661	0.4200812757654446	1989	0.0282656889495225	2695	1401.4771571159365	45.70087313652039	0.9717343110504775	1.0516984462738037
189	NNDescent,Euclidean,scBiMapEmbedding,500,TF-IDF	20	0.8337540534649438	0.077820438352628	0.1189446521567977	0.4687807168111732	1309	0.0186022055479763	8722	594.7584640979767	32.55092549324036	0.9813977944520237	0.713388204574585
284	Blend	20	0.8705978534608124	0.0327839695580628	0.2023838684112419	0.3218021507269339	2074	0.0295635316589218	24789		29.49061584472656	0.9704364683410782	
341	WeightedLowHash,Jaccard,None,TF-IDF	20	0.9001279115175093	0.0754974774809871	0.1685819401781473	0.5970467849126359	803	0.0114114370168258	25284		652.5778238773346	0.9885885629831742	0.7193715572357178
360	HNSW,Euclidean,scBiMapEmbedding,500,TF-IDF	20	0.7988085788963516	0.0742805142971718	0.1169633646830165	0.4592520869093203	1550	0.0220270577535243	8719	689.2996778488159	1.504971265792847	0.9779729422464757	0.903899908065796
379	ProductQuantization,Cosine,scBiMapEmbedding,500,TF-IDF	20	0.6534048681179229	0.0399884726419053	0.1347072228655688	0.348106744128046	2926	0.041581400636653	2914	606.0478672981262	47.63496255874634	0.958418599363347	0.7034306526184082
398	WeightedMinHash,Jaccard,None,TF-IDF	20	0.8855807736741492	0.0694255207820667	0.1484801674947944	0.4915056555609348	677	0.0096261854995805	25310		691.3760800361633	0.9903738145004195	0.5215821266174316
